"url","hammer_price","sold","auction_date","title","distillery","region","strength","distillery_status","cask_type","currency","bulk_litres","rla","filling_date","cask_filling","previous_spirit","regauged_date","age","bottles_at_cask_strength","hammer_price_per_bottle_at_cask_strength","hammer_price_per_litre_of_alcohol","buyer_price","buyer_price_per_bottle_at_cask_strength","buyer_price_per_litre_of_alcohol","country","auction_house"
"https://whiskyauctioneer.com/lot/321459/1-aultmore-2011-oloroso-octave-800613b-cask-storage-whiskybroker",2975,TRUE,"2021-01-11","Aultmore 201Oloroso Octave","Aultmore","Speyside","60.2","Operational","Octave","Great Britain Pound (£)","53.9","32.45","2011-01-01",NA,"Sherry",NA,10,77,"38.64","91.68","3346.88","43.47","103.14","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/323417/1-tobermory-1995-hogshead-1975-cask-storage-deanston-distillery",17500,FALSE,"2021-01-11","Tobermory 1995 Hogshead","Tobermory","Islands","53.1","Operational","Hogshead","Great Britain Pound (£)","170","90.27","1995-12-14",NA,NA,"2020-09-15",25,242.86,"72.06","193.86","19687.5","81.07","218.1","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/309996/1-tullibardine-2018-1st-fill-sherry-octave-8000036e-cask-storage-whiskybroker",1250,TRUE,"2020-12-07","Tullibardine 2018 1st Fill Sherry Octave","Tullibardine","Highlands","69.7","Operational","Octave","Great Britain Pound (£)","52.6","36.66","2018-01-01","First Fill","Sherry",NA,2,75.14,"16.64","34.1","1406.25","18.72","38.36","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/309998/1-glenrothes-2015-oloroso-sherry-hogshead-5752-cask-storage-whiskybroker",4400,TRUE,"2020-12-07","Glenrothes 2015 Oloroso Sherry Hogshead","Glenrothes","Speyside","66","Operational","Hogshead","Great Britain Pound (£)","209.78","138.45","2015-01-01",NA,"Sherry","2020-10-13",5,299.69,"14.68","31.78","4950","16.52","35.75","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/314182/1-bunnahabhain-2010-sherry-hogshead-901248-cask-storage-whiskybroker",15501,NA,"2020-12-07","Bunnahabhain 2010 Sherry Hogshead","Bunnahabhain","Islay","66.1","Operational","Hogshead","Great Britain Pound (£)","225.1","148.79","2010-11-11",NA,"Sherry","2020-07-08",10,321.57,"48.2","104.18","17438.62","54.23","117.2","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/299532/1-port-dundas-2009-bourbon-hogshead-728313-cask-storage-whiskybroker",3600,TRUE,"2020-11-09","Port Dundas 2009 Bourbon Hogshead","Port Dundas","Lowlands","63","Closed","Hogshead","Great Britain Pound (£)","223.85","141.03","2009-01-01",NA,"Bourbon","2020-10-02",11,319.79,"11.26","25.53","4050","12.66","28.72","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/299533/1-glen-moray-2015-bourbon-barrel-365-cask-storage-whiskybroker",2700,TRUE,"2020-11-09","Glen Moray 2015 Bourbon Barrel","Glen Moray","Speyside","61.2","Operational","Barrel","Great Britain Pound (£)","117.79","72.09","2015-01-01",NA,"Bourbon","2020-10-05",5,168.27,"16.05","37.45","3037.5","18.05","42.13","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/299534/1-tullibardine-2018-1st-fill-sherry-octave-8000036a-cask-storage-whiskybroker",1600,TRUE,"2020-11-09","Tullibardine 2018 1st Fill Sherry Octave","Tullibardine","Highlands","69.7","Operational","Octave","Great Britain Pound (£)","52.6","36.66","2018-01-01","First Fill","Sherry","2020-10-08",2,75.14,"21.29","43.64","1800","23.96","49.1","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/299830/glen-moray-2007-barrel-6343-cask-storage-whiskybroker",5200,FALSE,"2020-11-09","Glen Moray 2007 Barrel","Glen Moray","Speyside","59.6","Operational","Barrel","Great Britain Pound (£)","148","88.21","2009-01-01",NA,NA,"2020-09-09",11,211.43,"24.59","58.95","5850","27.67","66.32","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/299832/glentauchers-2009-bourbon-barrel-700240-cask-storage-whiskybroker",4900,FALSE,"2020-11-09","Glentauchers 2009 Bourbon Barrel","Glentauchers","Speyside","59.8","Operational","Barrel","Great Britain Pound (£)","167.3","100.05","2009-01-01",NA,"Bourbon","2020-09-09",11,239,"20.5","48.98","5512.5","23.06","55.1","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/299840/ledaig-2009-hogshead-700502-cask-storage-whiskybroker",13500,TRUE,"2020-11-09","Ledaig 2009 Hogshead","Tobermory","Islands","59.9","Operational","Hogshead","Great Britain Pound (£)","200.74","120.24",NA,NA,NA,"2020-10-08",NA,286.77,"47.08","112.28","15187.5","52.96","126.31","Scotland","WhiskyAuctioneer"
