"auction_date","distillery","region","country","strength","rla","bulk_litres","distillery_status","cask_type","cask_filling","previous_spirit","age","bottles_at_cask_strength","volume_12m","volume_6m","volume_3m","inf_adj_hammer_price","inf_adj_hammer_price_per_bottle_at_cask_strength","inf_adj_hammer_price_per_litre_of_alcohol","inf_adj_hammer_price_per_litre_of_alcohol_times_age"
"2024-05-14","Bruichladdich","Islay","Scotland","56.1",74.05,"132","Operational","Barrel","First Fill","Bourbon",18.91,188.57,77,59,13,12501.87,66.3,168.83,3192.57747062795
"2024-05-14","Bruichladdich","Islay","Scotland","68.7",121.6,"177","Operational","Barrel","First Fill","Bourbon",12.65,252.86,77,59,13,10418.22,41.2,85.68,1083.80331414474
"2023-03-27","Dingle","Ireland","Ireland","61.7",98.72,"160","Operational","Barrel",NA,"Bourbon",8.99,228.57,52,11,2,10497.67,45.93,106.34,955.977039100486
"2020-03-08","Bruichladdich","Islay","Scotland","63.9",113.1,"177","Operational",NA,"First Fill","Bourbon",11.07,252.86,20,12,7,12331.49,48.77,109.03,1206.98138196286
"2020-10-20","Glenfarclas","Speyside","Scotland","58.9",98.4,"167.06","Operational","Barrel","First Fill","Bourbon",8.91,238.66,46,30,23,9589.83,40.18,97.46,868.347411585366
"2020-08-11","Craigellachie","Speyside","Scotland","61.6",314.98,"511.33","Operational",NA,"Second Fill","Sherry",6.25,730.47,34,25,12,8991.71,12.31,28.55,178.418272588736
"2020-10-19","Craigellachie","Speyside","Scotland","61.6",314.98,"511.33","Operational",NA,"Second Fill","Sherry",6.44,730.47,46,30,23,8950.5,12.25,28.42,182.99961902343
"2020-11-17","Glenfarclas","Speyside","Scotland","58.9",98.4,"167.06","Operational","Barrel","First Fill","Bourbon",8.99,238.66,56,38,26,8326.45,34.89,84.62,760.719364837398
"2020-09-15","Craigellachie","Speyside","Scotland","61.6",314.98,"511.33","Operational",NA,"Second Fill","Sherry",6.35,730.47,42,30,17,7671.86,10.5,24.36,154.664775541304
"2020-12-15","Heaven Hill","USA","USA","66.3",116.69,"176","Operational","Barrel",NA,"Bourbon",11.95,251.43,74,54,37,7664.84,30.48,65.69,784.941623103951
"2020-07-13","Glenallachie","Speyside","Scotland","65.5",61.74,"94.26","Operational","Barrel",NA,"Bourbon",4.93,134.66,28,18,7,5306.37,39.41,85.95,423.718887269193
"2020-12-14","Glenallachie","Speyside","Scotland","65.2",121.5,"186.35","Operational","Barrel",NA,"Bourbon",5.35,266.21,74,54,37,4982.14,18.72,41.01,219.378181069959
"2020-08-11","Glenallachie","Speyside","Scotland","65.2",121.5,"186.35","Operational","Barrel",NA,"Bourbon",5,266.21,34,25,12,4945.44,18.58,40.7,203.516049382716
"2020-09-15","Glenallachie","Speyside","Scotland","65.2",121.5,"186.35","Operational","Barrel",NA,"Bourbon",5.1,266.21,42,30,17,4730.98,17.77,38.94,198.584345679012
"2020-11-17","Glenallachie","Speyside","Scotland","65.2",121.5,"186.35","Operational","Barrel",NA,"Bourbon",5.27,266.21,56,38,26,4483.47,16.84,36.9,194.468204938272
"2020-10-20","Glenallachie","Speyside","Scotland","65.2",121.5,"186.35","Operational","Barrel",NA,"Bourbon",5.2,266.21,46,30,23,3388.41,12.73,27.89,145.01837037037
"2019-07-30","Macallan","Speyside","Scotland","42.9",77.9299,"181.5976","Operational","Hogshead","Second Fill","",29.57,259.425142857143,26,8,6,91793.33,353.83,1177.9,34830.3894666874
"2024-09-30","Springbank","Campbeltown","Scotland","43.8",61.6,"140.3","Operational","Hogshead","Second Fill","Sherry",30.75,200.428571428571,100,45,25,72764.53,363.04,1181.24,36323.2028814935
"2025-06-16","Springbank","Campbeltown","Scotland","43.3",57.9,"131.8","Operational","Hogshead","First Fill","Bourbon",25.46,188.285714285714,131,61,22,35151.19,186.69,607.1,15456.8099723661
"2023-12-31","Ben Nevis","Highlands","Scotland","55",79.02,"143.39","Operational","Hogshead","","",27.16,204.842857142857,41,22,13,26486.01,129.3,335.18,9103.51849658314
"2024-03-31","Ben Nevis","Highlands","Scotland","55.1",71.64,"129.76","Operational","Hogshead","","",27.41,185.371428571429,81,55,42,25172.93,135.8,351.38,9631.35135817979
"2025-04-21","Ben Nevis","Highlands","Scotland","49.6",80.1,"159.73","Operational","Hogshead","","",29.06,228.185714285714,134,67,41,22459.3,98.43,280.39,8148.15553058677
"2020-09-30","Ben Nevis","Highlands","Scotland","56.1",89.27,"159.29","Operational","Hogshead","","",24.75,227.557142857143,42,30,17,26730.04,117.47,299.43,7410.87140136664
"2020-09-30","Ben Nevis","Highlands","Scotland","56.4",106.43,"188.9","Operational","Hogshead","Second Fill","Sherry",23.75,269.857142857143,42,30,17,22504.12,83.39,211.45,5021.82514328667
"2022-02-28","Bruichladdich","Islay","Scotland","63.8",93.79,"147","Operational","Barrel","First Fill","Bourbon",10.16,210,85,59,25,16865.28,80.31,179.82,1826.9671052351
"2018-07-31","Dalmore","Highlands","Scotland","58.9",116.7,"198.13","Operational","Hogshead","Second Fill","",10.47,283.042857142857,24,12,5,15822.31,55.9,135.58,1419.53372493573
"2021-06-30","Auchroisk","Speyside","Scotland","58.9",127.07,"215.75","Operational","Hogshead","","",12.7,308.214285714286,97,43,15,7206.87,23.38,56.72,720.289989769418
"2025-05-19","Arran","Highlands","Scotland","58.6",134,"226","Operational","Hogshead","First Fill","Sherry",12.21,322.857142857143,134,66,22,5342.12,16.55,39.87,486.770785074627
"2024-07-31","Ardnamurchan","Highlands","Scotland","61.6",101.76,"165.2","Operational","Barrel","","",7.4,236,97,42,30,3753.36,15.9,36.88,272.944811320755
"2024-06-30","Ardnamurchan","Highlands","Scotland","61.6",101.76,"165.2","Operational","Barrel","","",7.32,236,84,62,20,3744.97,15.87,36.8,269.390530660377
"2024-04-29","Longmorn","Speyside","Scotland","54.8",92.6,"168.98","Operational","Barrel","","Bourbon",13.71,241.4,78,57,12,11494.38,47.62,124.13,1701.81371274298
"2024-04-01","Longmorn","Speyside","Scotland","57.4",102.3,"178.22","Operational","Barrel","","Bourbon",13.64,254.6,78,57,12,9926.97,38.99,97.04,1323.596
"2024-02-05","Longmorn","Speyside","Scotland","55.6",97.8,"175.9","Operational","Barrel","","Bourbon",13.48,251.29,81,60,46,9489.8,37.76,97.03,1308.00106339468
"2023-12-04","Longmorn","Speyside","Scotland","55.6",88.3,"158.81","Operational","Barrel","","Bourbon",13.59,226.87,41,22,13,9391.45,41.4,106.36,1445.4111608154
"2025-04-04","Tamnavulin","Speyside","Scotland","58.5",105.8,"180.85","Operational","Barrel","","",11.57,258.36,134,67,41,4441.39,17.19,41.98,485.698320415879
"2024-09-02","Dalmunach","Speyside","Scotland","59.2",102.9,"173.82","Operational","Barrel","First Fill","Bourbon",7.22,248.31,100,45,25,4261.92,17.16,41.42,299.03850728863
"2024-12-13","Dalmunach","Speyside","Scotland","59.2",102.9,"173.82","Operational","Barrel","First Fill","Bourbon",7.5,248.31,132,70,45,4012.17,16.16,38.99,292.43221574344
"2025-04-04","Tamnavulin","Speyside","Scotland","58.5",105.8,"180.85","Operational","Barrel","","",11.57,258.36,134,67,41,3734.8,14.46,35.3,408.427561436673
"2024-11-04","Dalmunach","Speyside","Scotland","58.5",105.8,"180.85","Operational","Barrel","First Fill","Bourbon",7.39,258.36,127,68,43,3613.99,13.99,34.16,252.432760869565
"2024-12-13","Dalmunach","Speyside","Scotland","58.5",105.8,"180.85","Operational","Barrel","First Fill","Bourbon",7.5,258.36,132,70,45,3292.04,12.74,31.12,233.367674858223
"2025-01-06","Deanston","Highlands","Scotland","65",158.29,"243.52","Operational","Hogshead","Second Fill","",2.53,347.89,105,63,26,2060.56,5.92,13.02,32.9345934676859
"2025-05-11","Tullibardine","Highlands","Scotland","65",130.4,"200.62","Operational","Hogshead","","Wine",5.97,286.6,134,66,22,2015.9,7.03,15.46,92.2923542944785
"2025-06-02","Tullibardine","Highlands","Scotland","69.4",109,"157.06","Operational","Barrel","","",7.24,224.37,131,61,22,1531.59,6.83,14.05,101.731299082569
"2023-04-18","Arran","Islands","Scotland","51.4",87,"168.3","Operational","Hogshead","","",24.85,240.43,47,15,9,21930.6,91.21,252.08,6264.08517241379
"2021-03-24","Bonnington","Lowlands","Scotland","37.37",71,"190","Operational","Barrel",NA,"Bourbon",1,271.43,95,65,28,2550.27,9.4,35.92,35.9192957746479
"2021-03-24","Bonnington","Lowlands","Scotland","63.7",63.7,"222","Operational","Hogshead",NA,"Wine",0.65,317.14,95,65,28,2550.27,8.04,40.04,26.0231632653061
"2022-04-27","Bruichladdich","Islay","Scotland","60.4",82.1,"135","Operational","Barrel",NA,"Bourbon",17.32,192.86,97,63,33,19646.25,101.87,239.3,4144.61693057247
"2017-08-02","Bruichladdich","Islay","Scotland","53.9",53.9,"162","Operational","Barrel","First Fill","Bourbon",13.59,231.43,5,5,5,12498.55,54.01,231.88,3151.30416512059
"2017-10-04","Littlemill","Lowlands","Scotland","50",50,"85","Operational","Barrel",NA,"Bourbon",27.76,121.43,7,7,5,41635.8,342.88,832.72,23116.19616
"2018-01-03","Macallan","Speyside","Scotland","61.4",61.4,"226.1","Operational","Butt","Second Fill","Sherry",22.01,323,14,12,7,224883.62,696.23,3662.6,80613.8188306189
"2017-10-04","Macallan","Speyside","Scotland","58.9",58.9,"141.09","Operational","Hogshead","Second Fill","Sherry",23.76,201.56,7,7,5,121292.71,601.77,2059.3,48928.9437962649
"2018-02-07","Macallan","Speyside","Scotland","52.75",52.75,"180","Operational","Hogshead","Second Fill","Sherry",29.03,257.14,20,15,10,322086.75,1252.57,6105.91,177254.565924171
"2018-01-03","Macallan","Speyside","Scotland","50.02",50.02,"168.4","Operational","Hogshead","Third Fill","Sherry",28.01,240.57,14,12,7,180521.55,750.39,3608.99,101087.737215114
