"age","auction_date","auction_house","bottles_at_cask_strength","bulk_litres","buyer_price","buyer_price_per_bottle_at_cask_strength","buyer_price_per_litre_of_alcohol","cask_filling","cask_type","country","currency","distillery","distillery_status","filling_date","hammer_price","previous_spirit","regauged_date","region","rla","sold","strength","title","url"
29.5,2018-09-05,"Whisky Online Auctions",188.57,132,7020,37.23,165.57,"Second Fill","Hogshead","Scotland","Great Britain Pound (£)","Macallan","Operational",1989-03-06,70200,NA,2018-06-04,"Speyside",42.4,TRUE,42.4,"1 Refill Customer Hogshead Of Macallan 1989 - Cask 3480 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-refill-customer-hogshead-of-macallan-1989-cask-3480-held-in-bond&mproductId=8440434262180&sort_by=p1766765112"
29.37,2018-10-26,"Whisky Online Auctions",213.86,149.7,9010,42.13,180.78,"Third Fill","Hogshead","Scotland","Great Britain Pound (£)","Macallan","Operational",1989-06-12,90100,NA,2018-09-03,"Speyside",49.84,TRUE,49.84,"1 Hogshead Of Macallan 1989 - Cask 9313 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-macallan-1989-cask-9313-held-in-bond&mproductId=8440433311908&sort_by=p1766765112"
22.83,2017-11-01,"Whisky Online Auctions",236.19,165.33,5210,22.06,86.83,"Second Fill","Hogshead","Scotland","Great Britain Pound (£)","Macallan","Operational",1995-01-01,52100,NA,2017-08-07,"Speyside",60,TRUE,60,"1 Refill Hogshead Of Macallan 1995 - Cask 7739 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-refill-hogshead-of-macallan-1995-cask-7739-held-in-bond&mproductId=8440436719780&sort_by=p1766765112"
22.01,2018-01-03,"Whisky Online Auctions",323,226.1,16830,52.11,274.1,"Second Fill","Butt","Scotland","Great Britain Pound (£)","Macallan","Operational",1996-01-01,168300,"Sherry",2017-07-27,"Speyside",61.4,TRUE,61.4,"1 Refill Sherry Butt Of Macallan 1996 - Cask 15538 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-refill-sherry-butt-of-macallan-1996-cask-15538-held-in-bond&mproductId=8440424726692&sort_by=p1766765112"
23.76,2017-10-04,"Whisky Online Auctions",201.56,141.09,9060,44.95,153.82,"Second Fill","Hogshead","Scotland","Great Britain Pound (£)","Macallan","Operational",1994-01-01,90600,"Sherry",2017-07-06,"Speyside",58.9,TRUE,58.9,"1 Refill Sherry Hogshead Of Macallan 1994 - Cask 2316 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-refill-sherry-hogshead-of-macallan-1994-cask-2316-held-in-bond&mproductId=8440431542436&sort_by=p1766765112"
22.83,2017-11-01,"Whisky Online Auctions",205.91,144.14,5210,25.3,89.83,"Second Fill","Hogshead","Scotland","Great Britain Pound (£)","Macallan","Operational",1995-01-01,52100,NA,2017-08-07,"Speyside",58,TRUE,58,"1 Refill Hogshead Of Macallan 1995 - Cask 7738 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-refill-hogshead-of-macallan-1995-cask-7738-held-in-bond&mproductId=8440435867812&sort_by=p1766765112"
29.03,2018-02-07,"Whisky Online Auctions",257.14,180,24220,94.19,459.15,"Second Fill","Hogshead","Scotland","Great Britain Pound (£)","Macallan","Operational",1989-01-27,242200,"Sherry",2017-12-12,"Speyside",52.75,TRUE,52.75,"1 Sherry Hogshead Of Macallan 1989 - Cask 1248 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-sherry-hogshead-of-macallan-1989-cask-1248-held-in-bond&mproductId=8415533990052&sort_by=p1766765112"
28.01,2018-01-03,"Whisky Online Auctions",240.57,168.4,13510,56.16,270.09,"Third Fill","Hogshead","Scotland","Great Britain Pound (£)","Macallan","Operational",1990-01-01,135100,"Sherry",2017-08-15,"Speyside",50.02,TRUE,50.02,"1 Sherry Hogshead Of Macallan 1990 - Cask 4048 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-sherry-hogshead-of-macallan-1990-cask-4048-held-in-bond&mproductId=8440427675812&sort_by=p1766765112"
24.51,2017-07-05,"Whisky Online Auctions",144.29,101,5260,36.45,98.69,"Second Fill","Hogshead","Scotland","Great Britain Pound (£)","Macallan","Operational",1993-01-01,52600,"Sherry",2017-04-04,"Speyside",53.3,TRUE,53.3,"1 Sherry Hogshead Of Macallan 1993 - Cask 4131 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-sherry-hogshead-of-macallan-1993-cask-4131-held-in-bond&mproductId=8440435441828&sort_by=p1766765112"
23.76,2017-10-04,"Whisky Online Auctions",266.36,186.45,8210,30.82,135.7,"Second Fill","Hogshead","Scotland","Great Britain Pound (£)","Macallan","Operational",1994-01-01,82100,"Sherry",2017-07-06,"Speyside",60.5,TRUE,60.5,"1 Refill Sherry Hogshead Of Macallan 1994 - Cask 2317 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-refill-sherry-hogshead-of-macallan-1994-cask-2317-held-in-bond&mproductId=8440433672356&sort_by=p1766765112"
13.94,2025-04-02,"Whisky Online Auctions",270.34,189.24,350,1.29,5.71,NA,NA,"Scotland","Great Britain Pound (£)","Miltonduff","Operational",2011-04-25,3500,NA,2025-02-10,"Speyside",61.27,TRUE,61.27,"1 Bourbon Barrel Of Miltonduff 2011 - 13 Year Old - Cask 900062 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-bourbon-barrel-of-miltonduff-2011-13-year-old-cask-900062-held-in-bond&mproductId=15101895246205&sort_by=p1766765112"
22.28,2018-10-03,"Whisky Online Auctions",252.86,177,1270,5.02,23.74,"First Fill","Hogshead","Scotland","Great Britain Pound (£)","Tobermory","Operational",1996-06-21,12700,NA,2018-08-08,"Highlands",53.5,TRUE,53.5,"1 First Fill Hogshead Of Tobermory 1996 - Cask 438 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-first-fill-hogshead-of-tobermory-1996-cask-438-held-in-bond&mproductId=8440443666596&sort_by=p1766765112"
23.5,2019-06-05,"Whisky Online Auctions",280,196,1300,4.64,23.99,NA,"Hogshead","Scotland","Great Britain Pound (£)","Tobermory","Operational",1995-12-06,13000,NA,2019-04-09,"Highlands",54.2,TRUE,54.2,"1 Hogshead Of Tobermory 1995 - Cask 1841 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-tobermory-1995-cask-1841-held-in-bond&mproductId=8440443240612&sort_by=p1766765112"
28.75,2023-03-22,"Whisky Online Auctions",291.71,204.2,4660,15.97,92.28,NA,"Butt","Scotland","Great Britain Pound (£)","Tobermory","Operational",1994-06-20,46600,NA,2022-11-01,"Highlands",50.5,TRUE,50.5,"1 Butt Of Tobermory 1994 - 28 year Old - Cask 5025 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-butt-of-tobermory-1994-28-year-old-cask-5025-held-in-bond&mproductId=8638543200420&sort_by=p1766765112"
23.73,2018-09-05,"Whisky Online Auctions",244.29,171,1710,7,30.54,"First Fill","Hogshead","Scotland","Great Britain Pound (£)","Tobermory","Operational",1994-12-14,17100,NA,2018-07-02,"Highlands",56,TRUE,56,"1 First Fill Hogshead Of Tobermory 1994 - Cask 39 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-first-fill-hogshead-of-tobermory-1994-cask-39-held-in-bond&mproductId=8440440357028&sort_by=p1766765112"
24.21,2018-09-05,"Whisky Online Auctions",461.43,323,2560,5.55,51.51,"First Fill","Butt","Scotland","Great Britain Pound (£)","Tobermory","Operational",1994-06-20,25600,NA,2018-07-02,"Highlands",49.7,TRUE,49.7,"1 First Fill Butt Of Tobermory 1994 - Cask 5015 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-first-fill-butt-of-tobermory-1994-cask-5015-held-in-bond&mproductId=8440439505060&sort_by=p1766765112"
13.48,2018-12-05,"Whisky Online Auctions",307.14,215,530,1.73,9.08,NA,"Hogshead","Scotland","Great Britain Pound (£)","Tullibardine","Operational",2005-06-14,5300,"Sherry",2018-09-11,"Highlands",58.4,TRUE,58.4,"1 Sherry Hogshead Of Tullibardine 2005 - Cask 267 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-sherry-hogshead-of-tullibardine-2005-cask-267-held-in-bond&mproductId=8638562336932&sort_by=p1766765112"
11.83,2017-11-01,"Whisky Online Auctions",219.14,153.4,230,1.05,4.03,NA,NA,"Scotland","Great Britain Pound (£)","Tullibardine","Operational",2006-01-01,2300,"Bourbon",2017-10-01,"Highlands",57.09,TRUE,57.09,"1 Bourbon Barrel Of Tullibardine 2006 - Cask 806 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-bourbon-barrel-of-tullibardine-2006-cask-806-held-in-bond&mproductId=8638547296420&sort_by=p1766765112"
10.68,2017-09-06,"Whisky Online Auctions",240,168,370,1.54,6.27,NA,"Barrel","Scotland","Great Britain Pound (£)","Tullibardine","Operational",2007-01-01,3700,"Bourbon",2017-07-01,"Highlands",59,TRUE,59,"1 Ex Bourbon Barrel Of Tullibardine - Cask 15 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-ex-bourbon-barrel-of-tullibardine-cask-15-held-in-bond&mproductId=8638553260196&sort_by=p1766765112"
13.53,2018-12-05,"Whisky Online Auctions",211.71,148.2,310,1.46,5.37,NA,"Barrel","Scotland","Great Britain Pound (£)","Tullibardine","Operational",2005-05-26,3100,"Bourbon",2018-09-11,"Highlands",57.7,TRUE,57.7,"1 Bourbon Barrel Of Tullibardine 2005 - Cask 186 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-bourbon-barrel-of-tullibardine-2005-cask-186-held-in-bond&mproductId=8638548967588&sort_by=p1766765112"
