"url","hammer_price","title","sold","country","region","strength","distillery_status","bulk_litres","currency","auction_date","rla","filling_date","cask_type","cask_filling","previous_spirit","distillery","regauged_date","age","bottles_at_cask_strength","hammer_price_per_bottle_at_cask_strength","hammer_price_per_litre_of_alcohol","buyer_price","buyer_price_per_bottle_at_cask_strength","buyer_price_per_litre_of_alcohol","auction_house"
"https://www.thegrandwhiskyauction.com/lot-610011/adnams-triple-malt-1st-fill-american-oak-bourbon-barrel-517",2750,"Adnams - Triple Malt - 1st Fill American Oak Bourbon Barrel #517",TRUE,"England","England",67.42,"Operational",173.7,"Great Britain Pound (£)",2023-12-14,117.11,NA,"Barrel","First Fill","Bourbon","Adnams",NA,NA,248.14,11.08,23.48,3093.75,12.47,26.42,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-180485/glenallachie-2015-bourbon-barrel-210-18635-bulk-l-652-held-in-bond",2650,"Glenallachie - 2015 Bourbon Barrel #210 - 186.35 Bulk L 65.2% | Held In Bond",FALSE,"Scotland","Speyside",65.2,"Operational",186.35,"Great Britain Pound (£)",2020-10-20,121.5,2015-08-10,"Barrel",NA,"Bourbon","Glenallachie",2020-04-01,5,266.21,9.95,21.81,2981.25,11.2,24.54,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-610037/adnams-single-malt-jim-beam-1st-fill-american-oak-bourbon-barrel-113",2600,"Adnams - Single Malt - Jim Beam - 1st Fill American Oak Bourbon Barrel #113",TRUE,"England","England",66.74,"Operational",153.7,"Great Britain Pound (£)",2023-12-14,102.58,NA,"Barrel","First Fill","Bourbon","Adnams",NA,NA,219.57,11.84,25.35,2925,13.32,28.51,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-610025/adnams-single-malt-jim-beam-1st-fill-american-oak-bourbon-barrel-100",2500,"Adnams - Single Malt - Jim Beam - 1st Fill American Oak Bourbon Barrel #100",TRUE,"England","England",65.52,"Operational",147.4,"Great Britain Pound (£)",2023-12-14,96.58,NA,"Barrel","First Fill","Bourbon","Adnams",NA,NA,210.57,11.87,25.89,2812.5,13.36,29.12,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-610035/adnams-single-malt-jim-beam-1st-fill-american-oak-bourbon-barrel-111",2500,"Adnams - Single Malt - Jim Beam - 1st Fill American Oak Bourbon Barrel #111",TRUE,"England","England",67.89,"Operational",145.1,"Great Britain Pound (£)",2023-12-14,98.51,NA,"Barrel","First Fill","Bourbon","Adnams",NA,NA,207.29,12.06,25.38,2812.5,13.57,28.55,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-610036/adnams-single-malt-jim-beam-1st-fill-american-oak-bourbon-barrel-112",2500,"Adnams - Single Malt - Jim Beam - 1st Fill American Oak Bourbon Barrel #112",TRUE,"England","England",67.07,"Operational",149.5,"Great Britain Pound (£)",2023-12-14,100.27,NA,"Barrel","First Fill","Bourbon","Adnams",NA,NA,213.57,11.71,24.93,2812.5,13.17,28.05,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-610044/adnams-single-malt-jim-beam-1st-fill-american-oak-bourbon-barrel-120",2500,"Adnams - Single Malt - Jim Beam - 1st Fill American Oak Bourbon Barrel #120",TRUE,"England","England",66.54,"Operational",151.1,"Great Britain Pound (£)",2023-12-14,100.54,NA,"Barrel","First Fill","Bourbon","Adnams",NA,NA,215.86,11.58,24.87,2812.5,13.03,27.97,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-692339/annandale-2023-1st-fill-jim-beam-ex-bourbon-barrel-219-200-bulk-l-635-held-in-bond",2500,"Annandale - 2023 1st Fill Jim Beam Ex-Bourbon Barrel #219 - 200 Bulk L 63.5% | Held In Bond",TRUE,"Scotland","Lowlands",63.5,"Operational",200,"Great Britain Pound (£)",2024-10-29,127,NA,"Barrel","First Fill","Bourbon","Annandale",NA,NA,285.71,8.75,19.69,2812.5,9.84,22.15,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-692343/annandale-2023-1st-fill-jim-beam-ex-bourbon-barrel-220-200-bulk-l-635-held-in-bond",2500,"Annandale - 2023 1st Fill Jim Beam Ex-Bourbon Barrel #220 - 200 Bulk L 63.5% | Held In Bond",FALSE,"Scotland","Lowlands",63.5,"Operational",200,"Great Britain Pound (£)",2024-10-29,127,NA,"Barrel","First Fill","Bourbon","Annandale",NA,NA,285.71,8.75,19.69,2812.5,9.84,22.15,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-701463/annandale-2023-1st-fill-jim-beam-ex-bourbon-barrel-220-200-bulk-l-635-held-in-bond",2500,"Annandale - 2023 1st Fill Jim Beam Ex-Bourbon Barrel #220 - 200 Bulk L 63.5% | Held In Bond",FALSE,"Scotland","Lowlands",63.5,"Operational",200,"Great Britain Pound (£)",2024-11-26,127,NA,"Barrel","First Fill","Bourbon","Annandale",NA,NA,285.71,8.75,19.69,2812.5,9.84,22.15,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-702312/annandale-2023-1st-fill-jim-beam-ex-bourbon-barrel-221-200-bulk-l-635-held-in-bond",2500,"Annandale - 2023 1st Fill Jim Beam Ex-Bourbon Barrel #221 - 200 Bulk L 63.5% | Held In Bond",FALSE,"Scotland","Lowlands",63.5,"Operational",200,"Great Britain Pound (£)",2024-11-26,127,NA,"Barrel","First Fill","Bourbon","Annandale",NA,NA,285.71,8.75,19.69,2812.5,9.84,22.15,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-702313/annandale-2023-1st-fill-jim-beam-ex-bourbon-barrel-223-200-bulk-l-635-held-in-bond",2500,"Annandale - 2023 1st Fill Jim Beam Ex-Bourbon Barrel #223 - 200 Bulk L 63.5% | Held In Bond",FALSE,"Scotland","Lowlands",63.5,"Operational",200,"Great Britain Pound (£)",2024-11-26,127,NA,"Barrel","First Fill","Bourbon","Annandale",NA,NA,285.71,8.75,19.69,2812.5,9.84,22.15,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-710432/annandale-2023-1st-fill-jim-beam-ex-bourbon-barrel-224-200-bulk-l-635-held-in-bond",2500,"Annandale - 2023 1st Fill Jim Beam Ex-Bourbon Barrel #224 - 200 Bulk L 63.5% | Held In Bond",FALSE,"Scotland","Lowlands",63.5,"Operational",200,"Great Britain Pound (£)",2025-01-02,127,NA,"Barrel","First Fill","Bourbon","Annandale",NA,NA,285.71,8.75,19.69,2812.5,9.84,22.15,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-710433/annandale-2023-1st-fill-jim-beam-ex-bourbon-barrel-225-200-bulk-l-635-held-in-bond",2500,"Annandale - 2023 1st Fill Jim Beam Ex-Bourbon Barrel #225 - 200 Bulk L 63.5% | Held In Bond",FALSE,"Scotland","Lowlands",63.5,"Operational",200,"Great Britain Pound (£)",2025-01-02,127,NA,"Barrel","First Fill","Bourbon","Annandale",NA,NA,285.71,8.75,19.69,2812.5,9.84,22.15,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-711538/annandale-2023-1st-fill-jim-beam-ex-bourbon-barrel-220-200-bulk-l-635-held-in-bond",2500,"Annandale - 2023 1st Fill Jim Beam Ex-Bourbon Barrel #220 - 200 Bulk L 63.5% | Held In Bond",FALSE,"Scotland","Lowlands",63.5,"Operational",200,"Great Britain Pound (£)",2025-01-02,127,NA,"Barrel","First Fill","Bourbon","Annandale",NA,NA,285.71,8.75,19.69,2812.5,9.84,22.15,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-711578/annandale-2023-1st-fill-jim-beam-ex-bourbon-barrel-221-200-bulk-l-635-held-in-bond",2500,"Annandale - 2023 1st Fill Jim Beam Ex-Bourbon Barrel #221 - 200 Bulk L 63.5% | Held In Bond",FALSE,"Scotland","Lowlands",63.5,"Operational",200,"Great Britain Pound (£)",2025-01-02,127,NA,"Barrel","First Fill","Bourbon","Annandale",NA,NA,285.71,8.75,19.69,2812.5,9.84,22.15,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-711579/annandale-2023-1st-fill-jim-beam-ex-bourbon-barrel-223-200-bulk-l-635-held-in-bond",2500,"Annandale - 2023 1st Fill Jim Beam Ex-Bourbon Barrel #223 - 200 Bulk L 63.5% | Held In Bond",FALSE,"Scotland","Lowlands",63.5,"Operational",200,"Great Britain Pound (£)",2025-01-02,127,NA,"Barrel","First Fill","Bourbon","Annandale",NA,NA,285.71,8.75,19.69,2812.5,9.84,22.15,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-713948/adnams-single-malt-jim-beam-1st-fill-american-oak-bourbon-barrel-80",2500,"Adnams - Single Malt - Jim Beam - 1st Fill American Oak Bourbon Barrel #80",FALSE,"England","England",61.1,"Operational",130,"Great Britain Pound (£)",2025-01-02,79.43,NA,"Barrel","First Fill","Bourbon","Adnams",NA,NA,185.71,13.46,31.47,2812.5,15.14,35.41,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-713949/adnams-single-malt-jim-beam-1st-fill-american-oak-bourbon-barrel-76",2500,"Adnams - Single Malt - Jim Beam - 1st Fill American Oak Bourbon Barrel #76",FALSE,"England","England",63.5,"Operational",130,"Great Britain Pound (£)",2025-01-02,82.55,NA,"Barrel","First Fill","Bourbon","Adnams",NA,NA,185.71,13.46,30.28,2812.5,15.14,34.07,"The Grand Whisky Auction"
